question;answer
*Назови условия Тильзитского догова и между какими странами он был подписан?*;"(Между Францией и Россией
1)Россия и Франция делились на зоны влияния
2)Наполеон обязывался не поддерживать Персию и Турцию в войне с Россией, а Россия признавала завоевания Наполеона
3)Создавалось независимое гос-во- герцогство Варшавское 
4)Россия присоединялась к континентальной блокаде Англии)"
*Назови причины отечественной войны в 1812 г*;"( 1 - Невыполнение странами условия Тильзитского договора 
 2 - Территориальный спор вокруг польских территорий
 3 - Отказ России в участии похода на Индию)"
*Какие страны в 1698 году вошли в Северный союз и их цель?*;"(Россия, Речь Посполита, Дания, Саксония
Отвоевать у Швеции прибалтийские земли)"
*Что такое отрезки и прирезки?*;(Отрезки - это когда изымались земли у крестьян, если они оказывались больше, наоборот - прирезки)
*В каком году и кем было отменено крепостное право?*;( 1861 г, Александр 2)
*Для чего нужно было отменить крепостное право при Александре 2?*;(Это нужно было для развития промышленности)
*Какие три составляющих лежало в основе теории официальной народности?*;(Православие, самодержавие, народность)
*Какие два камитета были созданы в Петербурге при Александре 2?*;(Главный(возглавлял Орлов),  редакционная комиссия (Ростовцев)
*Методы при помощи которых короли устанавливали свою власть?*;"(Единая денежная система 
Единые законы 
Короли устанавливали свои резиденции)"
*Что такое реформация? В каком году произошло начало реформации в Европе?*;"(Реформация- это движение за переустройство церкви. 
В 1517 год- начало реформации в Европе)"
*Назовите декларацию прав человека и гражданина.(Франция, 1789)*;"(Провозглашалось право на жизнь 
Запрещалось обвинять человека без решения суда 
Устанавливалось свобода слова и мысли 
Вводилось равноправие между всеми сословиями )"
*При ком и В каком году был принят закон о едином наследии? Что он гласит?*;"(Петр 1, 1714 
Наследство передавалось только одному сыну, остальным надлежало идти на службу)"
*Назови восстания при Петре 1 *;"(Астраханское 
Булавина 
Башкирское)"
*Какой процесс начался в Англии во время индустриальной революции и опиши этот процесс (18 век)*;(Огораживание - когда крестьян выгоняли в города, а на их месте строили пастбища)
*Кто был учителем Александра 2?*;"(Поэт Жуковский ) 
"
*Какие первые партии появились в Париже и опиши одну*;"( 1 - Якобинцы 
  2 - Жирондисты 
  3 - Бешенные - требовали всенародного бунта, уничтожение помещиков и короля )"
*Положение Жалованной грамоты дворян и кто её подписал?*;"(Екатерина 2 (1885) 
 1 - Дворяне освобождались от оплаты налогов 
 2 - Дворяни создали собственный совещательный орган Тайные собрания) "
*На какие две категории делились сословия до середины 19 в. ?*;"( 1 - Привилегированные (освобождались от уплаты налогов) 
  2 - Не привилегированные (платили налоги))"
*Причина войны со Швецией 1808-1809 годов?*;(Россия объявила войну Швеции стремясь обезопасить Петербург)
*Где и в каком году была принята первая в истории конституция?*;(В США, 1787 год)
*Как назывался круг приближенных лиц при Александре 1, и кто туда входил?*;"(Негласный комитет
Входили:
Чарторыйский 
Кочубей
Новосильцев)"
*Какие земли отошли России по Ништадскому мирному договору?*;(Эстляндия, Лифляндия, Ингерманландия)
*Назови идеологические течения в 19 веке*;"(• консерватизм 
• реакционизм
• либеральное движение)"
*В каком году был принят указ о веротерпимости и в чем его суть?*;(1763 г, в церкви объявлялось равноправие. При Екатерине 2)
*В каком году отменили патриаршество и какой орган ввели вместо него?*;(В 1721 г, Священный Синод)
*Какие реформы в отношении крестьян были введены Александром 1?*;"(1. указ о запрете публиковать в газетах объявления о продаже крестьян
2. Запрещалось продавать крестьян без семьи
3. Указ о вольных хлебопашцах 
4. Отменено крепостное право в Прибалтике
(годы правления Александра 1801-1825))"
*Где впервые возник сепаратизм?*;(На территории Австрийской империи)
*Назови ряд социальных законов которые были приняты при королеве Виктории*;"(•закон о пенсиях
•закон об отпусках
•мед. Страхование)"
*В каком году в России появился первый купеческий банк?*;(В 1754 г при Елизавете Петровне)
*В чем заключалась реформа «Военные поселения», и при ком она была введена?*;"(Армия переводилась на самообеспечение. Солдаты должны были проживать в деревнях с крестьянами, а в деревнях устанавливался казарменный режим. 
Введена при Александре 1 (годы правления Александра 1801-1825))"
"*Что обязывались делать страны по ""Священному союзу"" ?*";(Лидеры этих стран обязывались подавлять восстания и не допускать революций на территории Европы (Восстановление Европы после Наполеона, Наполеона сослали на остров Эльба))
"*На какие организации распалась ""Земля и воля""?*";"(1 - Чёрный передел (Плеханов, Засулич продолжали пропаганду)
 2 - Народная воля (Халтурин, Перовская, Желябов, Фигна сделали ставку на террор))"
*Что такое интервенция?*;(Военное, политическое или экономическое вмешательство одного или нескольких государств во внутренние дела другой страны, нарушающее её суверенитет)
*Что такое заповедные лета?*;"(Название лет, в которые запрещался переход крестьян от одного владельца к другому в Юрьев день. Юрьев День - право крестьян на переход от одного помещика к другому)
"
*Что такое ярлык?*; (Грамота ордынских ханов, выдававшаяся русским князьям и подтверждавшая их право на управление княжеством)
*В каком году был подписан союз о трех императорах, что он означает?*;(Между Россией, Германией и Австрией в 1873 было достигнуто соглашение, согласно которому при нападении на одну из этих стран, другие союзники могли вмешаться и помочь союзнику.)
*Причины Русско-Турецкой войны. Важно отметить, что война была 1877-1878 годов*;(Стремление России взять реванш за Поражение в Крымской войне. Если спросит, то боевые действия развернулись на Балканах. Русская армия под командованием Скобелева осадила крепость Плевна. Сходу взять крепость не удалось и на помощь туркам двинулась 150 000 армия, однако Плевна все равно была захвачена и был подписан Стан-Стефанский мирный договор)
*Что такое земства?*;(выборные органы местного самоуправления в Российской империи)
"*Чем занималась организация ""Земля и Воля""?*";(Тайное революционное общество, которое стало пропагандировать крестьянам, что их обманули по реформе. Занимались пропагандой освободительных идей)
*Что было реализовано из проекта Сперанского?*;(Государственный совет (1810) - высший законосовещательный орган Российской империи при Александре 1)
*О каком термине идёт речь: сословные преимущества, которыми наделялось российское дворянство благодаря жалованной грамоте дворянству?*;(О привилегиях)
*Что такое земщина?*;(Земщина — часть территории Русского царства, не включённая Иваном IV в Опричнину.)
*Как называли последователей религиозных течений в России, которые не приняли церковные реформы патриарха Никона?*;(Старообрядцы)
*Назови условия Сан - Стефанского мирного договора*;(Сербия и Черногория получили независимость, Болгария – широкую автономию, а к России вновь вернулась территория Бессарабии и крепость Карс)
*Между кем была Битва на Реке Калке?*;(Между Монгольской империей под руководством Субедея и Русско-Половецким войском под руководством русских князей и хана Котяна)
*Как называлась крепость, при помощи которой Иван 4 взял город Казань?*;(Свияжск. Он был построен на территории России, разобран, сплавлен по Волге и собран на острове)
*В каком году был основан Санкт-Петербург*;(1703. Был основан Петром I в качестве города-порта для выхода к Балтике и Атлантическому океану)
*В чем была суть указа о царской фамилии и при ком он был подписан?*;(При Павле 1. В 1797 году.  Согласно указу престол передавался строго по мужской линии от отца к сыну)
*Приком в России появились первые законы в отношении рабочих, назовите один?*;"(При Александре 3
1889г-подросткам и женщинам запрещалось работать ночью на фабриках. Вводилась фабричная инспекция )"
*На какие 3 категории разделились крестьяне при Екатерине 2?*;"(-государственные(им разрешалось брать кредиты)
-помещичьи (принадлежали помещикам)
-удельные (принадлежали императорской семье))"
*При ком была открыта первая железная дорога в России, где она проходила?*;"(При Николае 1
Между Петербургом и Царским селом (1837))"
